date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:29:14	52863/52863	---MCZ	200	added ('OK')	text/html	date:Sat,%2023%20Nov%202024%2004:29:12%20GMT	https://thiepdientu.com.vn/mau-thiep/mau-thiep-vang-gold/	E:/DownloadWebsite/ThiepCuoi/thiepdientu.com.vn/mau-thiep/mau-thiep-vang-gold/index.html	(from )
11:29:14	53513/53513	---MCZ	200	added ('OK')	text/html	date:Sat,%2023%20Nov%202024%2004:29:12%20GMT	https://thiepdientu.com.vn/mau-thiep/mau-thiep-co-dien/	E:/DownloadWebsite/ThiepCuoi/thiepdientu.com.vn/mau-thiep/mau-thiep-co-dien/index.html	(from )
11:29:15	60311/60311	---MCZ	200	added ('OK')	text/html	date:Sat,%2023%20Nov%202024%2004:29:12%20GMT	https://thiepdientu.com.vn/mau-thiep/mau-thiep-cuoi-korea/	E:/DownloadWebsite/ThiepCuoi/thiepdientu.com.vn/mau-thiep/mau-thiep-cuoi-korea/index.html	(from )
11:29:15	52300/52300	---MCZ	200	added ('OK')	text/html	date:Sat,%2023%20Nov%202024%2004:29:15%20GMT	https://thiepdientu.com.vn/mau-thiep/mau-thiep-quy-phai/	E:/DownloadWebsite/ThiepCuoi/thiepdientu.com.vn/mau-thiep/mau-thiep-quy-phai/index.html	(from )
11:29:16	50134/50134	---MCZ	200	added ('OK')	text/html	date:Sat,%2023%20Nov%202024%2004:29:16%20GMT	https://thiepdientu.com.vn/mau-thiep/mau-thiep-hien-dai-2/	E:/DownloadWebsite/ThiepCuoi/thiepdientu.com.vn/mau-thiep/mau-thiep-hien-dai-2/index.html	(from )
11:29:16	113/113	---M-Z	200	added ('OK')	text/plain	date:Sat,%2023%20Nov%202024%2004:29:12%20GMT	https://thiepdientu.com.vn/robots.txt		(from )
11:29:16	75740/75740	---M--	200	added ('OK')	image/jpeg	date:Fri,%2015%20Mar%202024%2002:00:25%20GMT	https://thiepdientu.com.vn/wp-content/uploads/2024/01/6CF32DE4-3EF7-49AC-B042-E4FA3AFE1CFE-683x1024.jpeg	E:/DownloadWebsite/ThiepCuoi/thiepdientu.com.vn/wp-content/uploads/2024/01/6CF32DE4-3EF7-49AC-B042-E4FA3AFE1CFE-683x1024.jpg	(from https://thiepdientu.com.vn/mau-thiep/mau-thiep-vang-gold/)
11:29:16	114706/114706	---M-Z	200	added ('OK')	text/css	date:Wed,%2013%20Nov%202024%2020:15:14%20GMT	https://thiepdientu.com.vn/wp-includes/css/dist/block-library/style.min.css?ver=6.7.1	E:/DownloadWebsite/ThiepCuoi/thiepdientu.com.vn/wp-includes/css/dist/block-library/style.min9704.css	(from https://thiepdientu.com.vn/mau-thiep/mau-thiep-vang-gold/)
11:29:16	264115/264115	---M-Z	200	added ('OK')	text/css	date:Wed,%2031%20Jan%202024%2005:17:53%20GMT	https://thiepdientu.com.vn/wp-content/themes/wedding-studio/css/uikit.min.css?ver=1.0.0	E:/DownloadWebsite/ThiepCuoi/thiepdientu.com.vn/wp-content/themes/wedding-studio/css/uikit.min8a54.css	(from https://thiepdientu.com.vn/mau-thiep/mau-thiep-vang-gold/)
11:29:16	1720/1720	---M-Z	200	added ('OK')	text/css	date:Sun,%2024%20Mar%202024%2012:33:27%20GMT	https://thiepdientu.com.vn/wp-content/themes/wedding-studio/css/reset1.css?ver=1.0.0	E:/DownloadWebsite/ThiepCuoi/thiepdientu.com.vn/wp-content/themes/wedding-studio/css/reset18a54.css	(from https://thiepdientu.com.vn/mau-thiep/mau-thiep-vang-gold/)
