date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:00:19	113/113	---M-Z	200	added ('OK')	text/plain	date:Tue,%2029%20Oct%202024%2007:00:19%20GMT	https://thiepdientu.com.vn/robots.txt		(from )
14:00:20	51101/51101	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Oct%202024%2007:00:19%20GMT	https://thiepdientu.com.vn/mau-thiep/mau-thiep-nhe-nhang/	C:/My%20Web%20Sites/wedding/thiepdientu.com.vn/mau-thiep/mau-thiep-nhe-nhang/index.html	(from )
14:00:20	59032/59032	---M--	200	added ('OK')	image/jpeg	date:Thu,%2011%20Jan%202024%2015:32:36%20GMT	https://thiepdientu.com.vn/wp-content/uploads/2024/01/z5060764209805_147582161695b526b46252078d131495-768x1024.jpg	C:/My%20Web%20Sites/wedding/thiepdientu.com.vn/wp-content/uploads/2024/01/z5060764209805_147582161695b526b46252078d131495-768x1024.jpg	(from https://thiepdientu.com.vn/mau-thiep/mau-thiep-nhe-nhang/)
14:00:20	112427/112427	---M-Z	200	added ('OK')	text/css	date:Tue,%2010%20Sep%202024%2023:14:30%20GMT	https://thiepdientu.com.vn/wp-includes/css/dist/block-library/style.min.css?ver=6.6.2	C:/My%20Web%20Sites/wedding/thiepdientu.com.vn/wp-includes/css/dist/block-library/style.min109c.css	(from https://thiepdientu.com.vn/mau-thiep/mau-thiep-nhe-nhang/)
14:00:20	264115/264115	---M-Z	200	added ('OK')	text/css	date:Wed,%2031%20Jan%202024%2005:17:53%20GMT	https://thiepdientu.com.vn/wp-content/themes/wedding-studio/css/uikit.min.css?ver=1.0.0	C:/My%20Web%20Sites/wedding/thiepdientu.com.vn/wp-content/themes/wedding-studio/css/uikit.min8a54.css	(from https://thiepdientu.com.vn/mau-thiep/mau-thiep-nhe-nhang/)
14:00:21	1720/1720	---M-Z	200	added ('OK')	text/css	date:Sun,%2024%20Mar%202024%2012:33:27%20GMT	https://thiepdientu.com.vn/wp-content/themes/wedding-studio/css/reset1.css?ver=1.0.0	C:/My%20Web%20Sites/wedding/thiepdientu.com.vn/wp-content/themes/wedding-studio/css/reset18a54.css	(from https://thiepdientu.com.vn/mau-thiep/mau-thiep-nhe-nhang/)
14:00:21	131249/131249	---M-Z	200	added ('OK')	text/css	etag:W/%22200b1-MKAa+4M4VVJ4FiZV5KjnrFd3TzU%22	https://cdn.jsdelivr.net/npm/remixicon@4.0.0/fonts/remixicon.css?ver=1.0.0	C:/My%20Web%20Sites/wedding/cdn.jsdelivr.net/npm/remixicon@4.0.0/fonts/remixicon8a54.css	(from https://thiepdientu.com.vn/mau-thiep/mau-thiep-nhe-nhang/)
14:00:22	645/645	---M-Z	200	added ('OK')	text/css	date:Wed,%2017%20Jan%202024%2002:39:40%20GMT	https://thiepdientu.com.vn/wp-content/themes/wedding-studio/css/preload.css?ver=1.0.0	C:/My%20Web%20Sites/wedding/thiepdientu.com.vn/wp-content/themes/wedding-studio/css/preload8a54.css	(from https://thiepdientu.com.vn/mau-thiep/mau-thiep-nhe-nhang/)
14:00:22	34869/34869	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Oct%202024%2007:00:21%20GMT	https://thiepdientu.com.vn/mau-thiep/mau-thiep-nhe-nhang/feed/	C:/My%20Web%20Sites/wedding/thiepdientu.com.vn/mau-thiep/mau-thiep-nhe-nhang/feed/index.html	(from https://thiepdientu.com.vn/mau-thiep/mau-thiep-nhe-nhang/)
14:00:22	618/618	---M-Z	200	added ('OK')	text/css	date:Thu,%2014%20Mar%202024%2002:38:12%20GMT	https://thiepdientu.com.vn/wp-content/themes/wedding-studio/css/reset-wedding.css?ver=1.0.0	C:/My%20Web%20Sites/wedding/thiepdientu.com.vn/wp-content/themes/wedding-studio/css/reset-wedding8a54.css	(from https://thiepdientu.com.vn/mau-thiep/mau-thiep-nhe-nhang/)
